71,72,72,74,79,80,81,81,81,75,73,71,68,78,82,87,80,78,74,72,73,74,73,76
80,79,78,81,81,84,82,81,82,82,80,79,86,87,87,81,90,80,69,71,72,77,79,83
84,87,89,90,91,92,92,93,94,93,82,67,64,58,62,65,67,75,75,77,80,80,78,77
81,80,84,88,86,87,90,91,90,90,87,81,60,47,42,47,49,59,62,59,61,60,65,69
74,78,93,92,92,85,82,84,86,87,85,78,82,75,66,67,68,71,76,76,79,81,81,85
84,88,88,86,84,86,86,86,83,76,74,83,74,76,76,90,93,96,96,94,93,90,90,89
89,88,85,82,83,82,78,77,73,71,72,69,66,64,63,60,61,65,67,67,67,74,83,86
87,86,87,93,97,93,91,90,87,87,86,84,85,85,89,92,93,92,91,91,92,89,87,84
85,80,73,73,74,78,76,79,84,84,79,77,71,74,77,73,72,73,78,76,81,83,82,87
89,89,87,87,92,96,100,97,96,95,93,93,93,95,95,92,92,93,89,87,84,82,80,79
76,78,80,79,75,77,77,71,72,71,72,71,68,66,68,68,79,86,83,91,91,91,85,77
77,78,79,80,82,84,87,89,89,88,85,80,76,70,68,71,78,83,84,83,85,86,87,89
89,91,93,97,99,99,99,99,99,99,99,99,99,97,97,96,95,94,91,95,94,93,86,83
83,82,82,82,80,79,80,79,79,76,72,70,65,64,66,65,68,74,78,83,85,90,93,93
92,90,89,89,91,92,93,92,92,92,92,88,89,81,77,77,78,79,82,82,84,86,85,87
89,92,92,92,90,88,90,92,92,90,84,85,88,92,92,92,91,91,86,89,90,88,88,88
92,90,90,91,91,91,91,91,91,91,88,85,86,82,81,76,78,90,94,96,95,95,95,95
94,92,93,94,96,100,100,99,99,100,90,79,70,64,63,68,71,76,82,83,86,89,95,97
100,99,100,100,100,100,100,100,100,96,96,96,96,96,96,96,96,97,97,100,100,99,98,98
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,100,100,94,94,94,94
89,89,91,89,88,87,89,89,89,89,85,83,83,82,85,85,85,85,85,86,86,87,85,88
88,88,88,88,90,91,93,94,93,91,91,94,94,93,92,92,90,92,96,100,97,100,99,98
99,99,99,99,99,99,99,99,100,100,99,90,90,89,88,88,92,93,95,99,100,99,100,98
95,93,95,94,95,93,93,95,96,96,92,88,88,96,100,95,96,96,93,91,95,97,95,91
93,95,95,97,98,100,98,98,97,95,92,82,73,75,73,73,78,83,86,88,87,86,85,91
94,96,98,99,100,100,99,98,97,96,96,95,93,94,92,90,89,90,88,87,87,84,84,84
83,83,85,86,86,87,87,87,87,89,86,86,85,85,84,81,80,81,83,82,84,85,87,87
85,85,87,87,87,85,85,85,82,72,66,56,47,39,37,37,41,47,50,55,60,66,71,72
75,79,81,83,85,86,86,85,83,73,67,59,54,53,52,53,57,62,68,71,72,77,84,86
84,81,82,82,83,85,85,85,84,77,73,70,66,69,68,64,66,69,72,74,80,84,85,82
83,82,82,84,84,86,88,90,82,77,64,55,53,54,54,53,54,57,61,63,66,65,69,72
74,77,76,75,76,75,75,76,73,69,65,64,63,62,62,63,64,66,69,73,75,79,81,86
91,94,96,98,99,97,97,95,95,95,92,93,90,87,84,80,74,78,95,94,94,95,96,96
94,94,95,94,95,94,94,91,91,91,88,86,82,80,79,79,79,81,81,81,82,82,82,83
82,81,81,80,81,79,81,81,78,75,70,68,66,65,66,67,69,73,77,81,83,84,82,84
84,85,87,86,86,87,87,87,86,80,73,71,67,68,66,83,92,91,90,91,90,85,86,87
86,87,89,87,85,86,86,82,82,90,95,96,92,91,88,88,90,86,85,86,89,92,95,86
87,89,91,92,91,94,95,96,93,89,78,82,79,80,74,81,72,73,77,81,86,83,82,85
93,96,100,98,99,99,100,100,95,91,86,74,72,73,66,85,84,87,81,77,74,75,79,82
89,91,85,84,90,93,91,89,88,93,93,83,85,93,87,71,71,82,78,77,77,79,80,79
79,76,72,80,89,89,88,92,91,89,88,77,74,86,83,89,89,93,93,93,91,93,93,93
89,88,89,90,90,92,94,95,95,91,82,84,90,92,91,92,92,91,91,91,91,91,90,90
92,93,94,94,94,94,94,95,94,93,91,91,79,75,68,65,71,74,77,82,88,91,93,94
94,94,92,92,92,90,86,81,78,74,72,69,64,60,65,65,71,74,76,83,86,73,72,75
81,82,83,86,89,91,89,89,87,83,78,71,60,52,47,46,51,57,62,66,67,69,65,70
74,77,78,77,74,75,85,86,84,82,78,68,58,56,56,57,59,62,72,78,76,83,83,85
85,87,86,88,91,91,89,88,85,84,75,79,80,77,78,79,75,75,74,81,82,87,86,87
88,91,94,95,95,100,97,96,92,83,73,66,58,48,52,53,50,54,59,68,82,90,91,95
95,95,94,95,93,92,91,93,87,78,76,76,73,62,58,59,56,57,65,67,71,74,79,81
81,80,78,79,80,79,81,82,76,70,66,62,57,53,54,53,55,55,58,61,65,70,74,81
83,86,90,91,93,94,95,93,82,69,60,54,50,45,43,40,43,49,55,62,66,69,73,74
76,73,72,78,81,86,88,87,83,74,64,56,50,47,46,47,48,52,62,70,74,77,77,80
82,86,88,87,89,91,91,88,77,70,69,67,65,66,62,62,65,68,70,71,72,77,78,81
83,83,86,87,85,84,86,84,76,66,58,53,54,48,49,53,51,55,58,62,65,71,75,80
84,86,88,88,89,87,88,86,78,68,59,53,58,60,64,69,69,74,75,74,77,79,75,74
69,70,66,69,77,88,91,91,92,94,91,85,84,78,75,70,64,63,67,76,81,85,87,86
85,83,87,85,87,84,84,83,81,85,87,77,72,72,88,86,75,73,70,85,84,81,77,79
80,80,80,83,85,86,83,79,74,66,60,51,47,51,83,72,70,66,71,74,75,79,80,81
84,85,87,89,94,94,94,93,93,93,93,89,85,81,77,74,71,73,74,76,79,80,84,83
82,90,95,93,92,91,92,92,94,95,96,94,91,87,87,87,90,94,96,100,96,98,99,99
100,100,99,100,100,100,100,99,99,100,99,99,99,99,99,97,100,100,99,99,100,97,96,94
92,94,91,90,90,90,88,85,79,78,74,68,64,61,64,74,88,93,95,96,96,100,99,91
90,87,80,78,75,73,71,71,68,64,60,53,44,42,39,38,38,40,43,44,46,49,54,57
